,cod_reg_rbd,nom_reg_rbd_a,cod_com_rbd,nom_com_rbd,cod_depe2,rural_rbd,cod_ense2,cod_jor,mrun,gen_alu_x,edad_alu,cod_reg_alu,prom_gral,asistencia,codigo_unico,gen_alu_y,anio_ing_carr_ori,tipo_inst_3,_merge
30646,13,RM,13114,LAS CONDES,3,0,5,3,11888244,1,17,13,"6,6",99,I86S5C400J1V1,1,2021,Universidades Privadas CRUCH,both
18265,8,BBIO,8101,CONCEPCIÓN,3,0,5,1,24811068,2,17,8,"6,6",100,I70S1C21J1V1,2,2021,Universidades Estatales CRUCH,both
57775,13,RM,13119,MAIPÚ,2,0,7,3,15183757,1,17,13,"5,6",42,I111S15C485J2V1,1,2021,Institutos Profesionales,both
9374,5,VALPO,5801,QUILPUÉ,2,0,5,3,11582088,2,17,5,"6,9",99,I88S1C56J1V1,2,2021,Universidades Privadas CRUCH,both
28071,13,RM,13101,SANTIAGO,2,0,5,3,23457239,2,19,13,"5,4",100,I26S1C84J1V1,2,2021,Universidades Privadas,both
26512,13,RM,13101,SANTIAGO,1,0,5,1,19219195,1,17,13,7,85,I88S6C13J1V2,1,2021,Universidades Privadas CRUCH,both
60541,13,RM,13201,PUENTE ALTO,2,0,7,3,23974364,1,17,13,"6,2",96,I10S7C458J1V1,1,2021,Universidades Privadas,both
22209,9,ARAUC,9103,CUNCO,1,0,7,3,9947302,1,17,9,"5,3",85,I94S1C1J1V1,1,2021,Universidades Privadas CRUCH,both
50006,5,VALPO,5603,CARTAGENA,2,0,5,3,18565966,2,17,5,"6,6",95,I430S9C170J1V2,2,2021,Centros de Formación Técnica,both
65598,13,RM,13401,SAN BERNARDO,2,0,5,3,9877661,2,17,13,"6,9",100,I20S1C24J1V1,2,2021,Universidades Privadas,both
18272,8,BBIO,8101,CONCEPCIÓN,3,0,5,1,13664540,2,17,8,"6,8",100,I87S1C54J1V1,2,2021,Universidades Privadas CRUCH,both
59142,13,RM,13115,LO BARNECHEA,3,0,5,3,19912724,2,18,13,"6,5",100,I34S1C243J1V2,2,2021,Universidades Privadas CRUCH,both
9631,5,VALPO,5804,VILLA ALEMANA,2,0,5,3,9227828,2,17,5,"6,8",100,I88S1C56J1V1,2,2021,Universidades Privadas CRUCH,both
56369,10,LAGOS,10101,PUERTO MONTT,1,0,7,3,12193287,1,18,10,"5,9",90,I111S25C484J2V1,1,2021,Institutos Profesionales,both
38830,13,RM,13127,RECOLETA,2,0,5,3,20339658,1,17,13,"6,1",100,I10S6C24J1V1,1,2021,Universidades Privadas,both
36724,13,RM,13105,EL BOSQUE,2,0,7,3,15680830,2,18,13,"5,9",85,I111S20C50J2V1,2,2021,Institutos Profesionales,both
55967,10,LAGOS,10101,PUERTO MONTT,2,0,5,3,15087106,2,17,10,"6,4",100,I430S23C131J1V1,2,2021,Centros de Formación Técnica,both
26799,13,RM,13101,SANTIAGO,1,0,5,3,19104802,1,17,13,"5,8",85,I39S6C29J1V1,1,2021,Universidades Privadas,both
